merchant_name,merchant_category,city,state
PVR 1117,Entertainment,Hyderabad,Telangana
Burger King 1118,Restaurant,Hyderabad,Telangana
Indian Oil 1119,Fuel,Ahmedabad,Gujarat
Water Supply 1120,Utilities,Mumbai,Maharashtra
Vijay Sales 1121,Electronics,Ahmedabad,Gujarat
Reliance Digital 1122,Electronics,Nagpur,Maharashtra
Shell 1123,Fuel,Mumbai,Maharashtra
Indian Oil 1124,Fuel,Delhi,Delhi
Bharat Petroleum 1125,Fuel,Jaipur,Rajasthan
Apollo Pharmacy 1126,Pharmacy,Noida,Uttar Pradesh
Meesho 1127,Shopping,Nagpur,Maharashtra
IRCTC 1128,Travel,Gurgaon,Haryana
Cafe Coffee Day 1129,Cafe,Nagpur,Maharashtra
Wellness Forever 1130,Pharmacy,Patna,Bihar
Yatra 1131,Travel,Kolkata,West Bengal
PVR 1132,Entertainment,Pune,Maharashtra
Ajio 1133,Shopping,Bhopal,Madhya Pradesh
Croma 1134,Electronics,Gurgaon,Haryana
PVR 1135,Entertainment,Nagpur,Maharashtra
Goibibo 1136,Travel,Hyderabad,Telangana
Vijay Sales 1137,Electronics,Indore,Madhya Pradesh
Barista 1138,Cafe,Chennai,Tamil Nadu
Apollo Pharmacy 1139,Pharmacy,Lucknow,Uttar Pradesh
Gas Agency 1140,Utilities,Kanpur,Uttar Pradesh
Goibibo 1141,Travel,Kolkata,West Bengal
Vijay Sales 1142,Electronics,Pune,Maharashtra
INOX 1143,Entertainment,Delhi,Delhi
D-Mart 1144,Supermarket,Indore,Madhya Pradesh
Goibibo 1145,Travel,Mumbai,Maharashtra
Gas Agency 1146,Utilities,Ahmedabad,Gujarat
Cafe Coffee Day 1147,Cafe,Ahmedabad,Gujarat
Apollo Pharmacy 1148,Pharmacy,Bengaluru,Karnataka
Pizza Hut 1149,Restaurant,Mumbai,Maharashtra
Medanta 1150,Hospital,Kolkata,West Bengal
Burger King 1151,Restaurant,Kanpur,Uttar Pradesh
PVR 1152,Entertainment,Kanpur,Uttar Pradesh
Fortis 1153,Hospital,Jaipur,Rajasthan
Max Hospital 1154,Hospital,Chandigarh,Punjab
MedPlus 1155,Pharmacy,Kochi,Kerala
MedPlus 1156,Pharmacy,Noida,Uttar Pradesh
Lifestyle 1157,Fashion,Noida,Uttar Pradesh
Wellness Forever 1158,Pharmacy,Pune,Maharashtra
BookMyShow 1159,Entertainment,Kochi,Kerala
Shell 1160,Fuel,Pune,Maharashtra
Cafe Coffee Day 1161,Cafe,Kolkata,West Bengal
Amazon 1162,Shopping,Bengaluru,Karnataka
Lifestyle 1163,Fashion,Kanpur,Uttar Pradesh
Pantaloons 1164,Fashion,Hyderabad,Telangana
Gas Agency 1165,Utilities,Lucknow,Uttar Pradesh
KFC 1166,Restaurant,Indore,Madhya Pradesh
Lifestyle 1167,Fashion,Lucknow,Uttar Pradesh
Big Bazaar 1168,Supermarket,Bhopal,Madhya Pradesh
Barista 1169,Cafe,Nagpur,Maharashtra
Lifestyle 1170,Fashion,Patna,Bihar
Zudio 1171,Fashion,Hyderabad,Telangana
MakeMyTrip 1172,Travel,Surat,Gujarat
Big Bazaar 1173,Supermarket,Noida,Uttar Pradesh
Bharat Petroleum 1174,Fuel,Kochi,Kerala
IRCTC 1175,Travel,Indore,Madhya Pradesh
Starbucks 1176,Cafe,Kanpur,Uttar Pradesh
Cafe Coffee Day 1177,Cafe,Ahmedabad,Gujarat
Goibibo 1178,Travel,Patna,Bihar
Water Supply 1179,Utilities,Indore,Madhya Pradesh
BookMyShow 1180,Entertainment,Surat,Gujarat
KFC 1181,Restaurant,Indore,Madhya Pradesh
Gas Agency 1182,Utilities,Gurgaon,Haryana
Reliance Digital 1183,Electronics,Ahmedabad,Gujarat
Water Supply 1184,Utilities,Noida,Uttar Pradesh
Medanta 1185,Hospital,Bhopal,Madhya Pradesh
Water Supply 1186,Utilities,Pune,Maharashtra
Wellness Forever 1187,Pharmacy,Delhi,Delhi
BookMyShow 1188,Entertainment,Bhopal,Madhya Pradesh
HP Petrol Pump 1189,Fuel,Patna,Bihar
Wellness Forever 1190,Pharmacy,Noida,Uttar Pradesh
Max Fashion 1191,Fashion,Indore,Madhya Pradesh
Indian Oil 1192,Fuel,Bengaluru,Karnataka
Wellness Forever 1193,Pharmacy,Mumbai,Maharashtra
Croma 1194,Electronics,Chandigarh,Punjab
Big Bazaar 1195,Supermarket,Ahmedabad,Gujarat
MakeMyTrip 1196,Travel,Hyderabad,Telangana
Barista 1197,Cafe,Chennai,Tamil Nadu
Ajio 1198,Shopping,Patna,Bihar
Yatra 1199,Travel,Delhi,Delhi
INOX 1200,Entertainment,Jaipur,Rajasthan
Zudio 1201,Fashion,Hyderabad,Telangana
Domino's 1202,Restaurant,Noida,Uttar Pradesh
INOX 1203,Entertainment,Noida,Uttar Pradesh
More 1204,Supermarket,Jaipur,Rajasthan
MedPlus 1205,Pharmacy,Patna,Bihar
Goibibo 1206,Travel,Bhopal,Madhya Pradesh
Reliance Digital 1207,Electronics,Kanpur,Uttar Pradesh
IRCTC 1208,Travel,Chandigarh,Punjab
Max Fashion 1209,Fashion,Surat,Gujarat
Reliance Digital 1210,Electronics,Lucknow,Uttar Pradesh
Wellness Forever 1211,Pharmacy,Hyderabad,Telangana
Fortis 1212,Hospital,Kolkata,West Bengal
Max Fashion 1213,Fashion,Pune,Maharashtra
Max Fashion 1214,Fashion,Lucknow,Uttar Pradesh
Cafe Coffee Day 1215,Cafe,Gurgaon,Haryana
Barista 1216,Cafe,Mumbai,Maharashtra
Indian Oil 1217,Fuel,Ahmedabad,Gujarat
Bharat Petroleum 1218,Fuel,Kolkata,West Bengal
Apollo Pharmacy 1219,Pharmacy,Hyderabad,Telangana
Myntra 1220,Shopping,Delhi,Delhi
PVR 1221,Entertainment,Kanpur,Uttar Pradesh
Spencer's 1222,Supermarket,Chandigarh,Punjab
Goibibo 1223,Travel,Kochi,Kerala
Pizza Hut 1224,Restaurant,Bengaluru,Karnataka
Meesho 1225,Shopping,Ahmedabad,Gujarat
Apollo Pharmacy 1226,Pharmacy,Mumbai,Maharashtra
Meesho 1227,Shopping,Chandigarh,Punjab
Domino's 1228,Restaurant,Pune,Maharashtra
Gas Agency 1229,Utilities,Bhopal,Madhya Pradesh
Pantaloons 1230,Fashion,Hyderabad,Telangana
PVR 1231,Entertainment,Bengaluru,Karnataka
Yatra 1232,Travel,Patna,Bihar
Ajio 1233,Shopping,Nagpur,Maharashtra
Spencer's 1234,Supermarket,Gurgaon,Haryana
McDonald's 1235,Restaurant,Kolkata,West Bengal
Flipkart 1236,Shopping,Gurgaon,Haryana
Spencer's 1237,Supermarket,Ahmedabad,Gujarat
Big Bazaar 1238,Supermarket,Kanpur,Uttar Pradesh
Myntra 1239,Shopping,Kochi,Kerala
Shell 1240,Fuel,Kolkata,West Bengal
Yatra 1241,Travel,Chennai,Tamil Nadu
Indian Oil 1242,Fuel,Surat,Gujarat
Apollo Pharmacy 1243,Pharmacy,Bhopal,Madhya Pradesh
Croma 1244,Electronics,Lucknow,Uttar Pradesh
Shell 1245,Fuel,Bengaluru,Karnataka
McDonald's 1246,Restaurant,Gurgaon,Haryana
INOX 1247,Entertainment,Jaipur,Rajasthan
Apollo Pharmacy 1248,Pharmacy,Bengaluru,Karnataka
INOX 1249,Entertainment,Lucknow,Uttar Pradesh
Lifestyle 1250,Fashion,Nagpur,Maharashtra
Big Bazaar 1251,Supermarket,Noida,Uttar Pradesh
Indian Oil 1252,Fuel,Kolkata,West Bengal
Electricity Board 1253,Utilities,Bengaluru,Karnataka
INOX 1254,Entertainment,Indore,Madhya Pradesh
KFC 1255,Restaurant,Mumbai,Maharashtra
Amazon 1256,Shopping,Patna,Bihar
Gas Agency 1257,Utilities,Ahmedabad,Gujarat
KFC 1258,Restaurant,Delhi,Delhi
Pantaloons 1259,Fashion,Bhopal,Madhya Pradesh
Indian Oil 1260,Fuel,Hyderabad,Telangana
Zudio 1261,Fashion,Jaipur,Rajasthan
Reliance Fresh 1262,Supermarket,Mumbai,Maharashtra
Reliance Digital 1263,Electronics,Surat,Gujarat
INOX 1264,Entertainment,Chennai,Tamil Nadu
Vijay Sales 1265,Electronics,Chandigarh,Punjab
Meesho 1266,Shopping,Chandigarh,Punjab
BookMyShow 1267,Entertainment,Indore,Madhya Pradesh
Westside 1268,Fashion,Kolkata,West Bengal
IRCTC 1269,Travel,Patna,Bihar
Croma 1270,Electronics,Indore,Madhya Pradesh
Flipkart 1271,Shopping,Delhi,Delhi
Fortis 1272,Hospital,Nagpur,Maharashtra
Medanta 1273,Hospital,Patna,Bihar
Barista 1274,Cafe,Kanpur,Uttar Pradesh
PVR 1275,Entertainment,Chennai,Tamil Nadu
BookMyShow 1276,Entertainment,Noida,Uttar Pradesh
Apollo Pharmacy 1277,Pharmacy,Kanpur,Uttar Pradesh
D-Mart 1278,Supermarket,Chennai,Tamil Nadu
PVR 1279,Entertainment,Pune,Maharashtra
Bharat Petroleum 1280,Fuel,Jaipur,Rajasthan
More 1281,Supermarket,Bhopal,Madhya Pradesh
Apollo Hospital 1282,Hospital,Hyderabad,Telangana
Apollo Pharmacy 1283,Pharmacy,Hyderabad,Telangana
D-Mart 1284,Supermarket,Kochi,Kerala
Vijay Sales 1285,Electronics,Delhi,Delhi
Barista 1286,Cafe,Bengaluru,Karnataka
INOX 1287,Entertainment,Mumbai,Maharashtra
Indian Oil 1288,Fuel,Gurgaon,Haryana
Wellness Forever 1289,Pharmacy,Kochi,Kerala
Apollo Pharmacy 1290,Pharmacy,Bhopal,Madhya Pradesh
MakeMyTrip 1291,Travel,Nagpur,Maharashtra
IRCTC 1292,Travel,Noida,Uttar Pradesh
Reliance Digital 1293,Electronics,Kochi,Kerala
Water Supply 1294,Utilities,Chandigarh,Punjab
Max Hospital 1295,Hospital,Noida,Uttar Pradesh
Wellness Forever 1296,Pharmacy,Kochi,Kerala
Electricity Board 1297,Utilities,Nagpur,Maharashtra
Shell 1298,Fuel,Hyderabad,Telangana
Indian Oil 1299,Fuel,Jaipur,Rajasthan
Reliance Digital 1300,Electronics,Pune,Maharashtra
Apollo Pharmacy 1301,Pharmacy,Nagpur,Maharashtra
Shell 1302,Fuel,Surat,Gujarat
Domino's 1303,Restaurant,Surat,Gujarat
Vijay Sales 1304,Electronics,Kochi,Kerala
MedPlus 1305,Pharmacy,Indore,Madhya Pradesh
McDonald's 1306,Restaurant,Jaipur,Rajasthan
Burger King 1307,Restaurant,Pune,Maharashtra
MakeMyTrip 1308,Travel,Pune,Maharashtra
Gas Agency 1309,Utilities,Nagpur,Maharashtra
Starbucks 1310,Cafe,Indore,Madhya Pradesh
Starbucks 1311,Cafe,Chennai,Tamil Nadu
Cafe Coffee Day 1312,Cafe,Kolkata,West Bengal
KFC 1313,Restaurant,Ahmedabad,Gujarat
HP Petrol Pump 1314,Fuel,Kanpur,Uttar Pradesh
BookMyShow 1315,Entertainment,Nagpur,Maharashtra
Barista 1316,Cafe,Ahmedabad,Gujarat
IRCTC 1317,Travel,Kochi,Kerala
MedPlus 1318,Pharmacy,Patna,Bihar
Myntra 1319,Shopping,Kochi,Kerala
MedPlus 1320,Pharmacy,Kanpur,Uttar Pradesh
Vijay Sales 1321,Electronics,Bengaluru,Karnataka
Reliance Digital 1322,Electronics,Patna,Bihar
Pizza Hut 1323,Restaurant,Pune,Maharashtra
HP Petrol Pump 1324,Fuel,Lucknow,Uttar Pradesh
Fortis 1325,Hospital,Surat,Gujarat
Apollo Pharmacy 1326,Pharmacy,Mumbai,Maharashtra
IRCTC 1327,Travel,Noida,Uttar Pradesh
Barista 1328,Cafe,Chandigarh,Punjab
KFC 1329,Restaurant,Kanpur,Uttar Pradesh
Shell 1330,Fuel,Ahmedabad,Gujarat
BookMyShow 1331,Entertainment,Delhi,Delhi
Goibibo 1332,Travel,Kolkata,West Bengal
Apollo Pharmacy 1333,Pharmacy,Jaipur,Rajasthan
Wellness Forever 1334,Pharmacy,Kolkata,West Bengal
Starbucks 1335,Cafe,Surat,Gujarat
BookMyShow 1336,Entertainment,Noida,Uttar Pradesh
MedPlus 1337,Pharmacy,Mumbai,Maharashtra
IRCTC 1338,Travel,Surat,Gujarat
IRCTC 1339,Travel,Indore,Madhya Pradesh
Pizza Hut 1340,Restaurant,Mumbai,Maharashtra
MakeMyTrip 1341,Travel,Indore,Madhya Pradesh
Medanta 1342,Hospital,Mumbai,Maharashtra
Shell 1343,Fuel,Bhopal,Madhya Pradesh
Shell 1344,Fuel,Chennai,Tamil Nadu
Apollo Hospital 1345,Hospital,Pune,Maharashtra
Medanta 1346,Hospital,Kochi,Kerala
Shell 1347,Fuel,Chandigarh,Punjab
More 1348,Supermarket,Chennai,Tamil Nadu
Gas Agency 1349,Utilities,Gurgaon,Haryana
Apollo Pharmacy 1350,Pharmacy,Surat,Gujarat
Big Bazaar 1351,Supermarket,Noida,Uttar Pradesh
Apollo Hospital 1352,Hospital,Bengaluru,Karnataka
Fortis 1353,Hospital,Bhopal,Madhya Pradesh
INOX 1354,Entertainment,Bhopal,Madhya Pradesh
Indian Oil 1355,Fuel,Kochi,Kerala
Fortis 1356,Hospital,Ahmedabad,Gujarat
Fortis 1357,Hospital,Ahmedabad,Gujarat
Max Hospital 1358,Hospital,Ahmedabad,Gujarat
MedPlus 1359,Pharmacy,Lucknow,Uttar Pradesh
Reliance Digital 1360,Electronics,Delhi,Delhi
Pantaloons 1361,Fashion,Ahmedabad,Gujarat
Water Supply 1362,Utilities,Bhopal,Madhya Pradesh
KFC 1363,Restaurant,Delhi,Delhi
Max Fashion 1364,Fashion,Ahmedabad,Gujarat
Vijay Sales 1365,Electronics,Lucknow,Uttar Pradesh
Medanta 1366,Hospital,Bhopal,Madhya Pradesh
Wellness Forever 1367,Pharmacy,Mumbai,Maharashtra
Flipkart 1368,Shopping,Kanpur,Uttar Pradesh
Medanta 1369,Hospital,Mumbai,Maharashtra
INOX 1370,Entertainment,Ahmedabad,Gujarat
MakeMyTrip 1371,Travel,Surat,Gujarat
Gas Agency 1372,Utilities,Noida,Uttar Pradesh
Electricity Board 1373,Utilities,Mumbai,Maharashtra
Pantaloons 1374,Fashion,Chandigarh,Punjab
HP Petrol Pump 1375,Fuel,Indore,Madhya Pradesh
Gas Agency 1376,Utilities,Bhopal,Madhya Pradesh
KFC 1377,Restaurant,Delhi,Delhi
Starbucks 1378,Cafe,Ahmedabad,Gujarat
Cafe Coffee Day 1379,Cafe,Delhi,Delhi
Cafe Coffee Day 1380,Cafe,Noida,Uttar Pradesh
Goibibo 1381,Travel,Gurgaon,Haryana
Flipkart 1382,Shopping,Lucknow,Uttar Pradesh
Meesho 1383,Shopping,Patna,Bihar
Vijay Sales 1384,Electronics,Ahmedabad,Gujarat
Yatra 1385,Travel,Jaipur,Rajasthan
Wellness Forever 1386,Pharmacy,Chennai,Tamil Nadu
Apollo Hospital 1387,Hospital,Pune,Maharashtra
Reliance Digital 1388,Electronics,Kochi,Kerala
Shell 1389,Fuel,Kolkata,West Bengal
INOX 1390,Entertainment,Hyderabad,Telangana
Apollo Pharmacy 1391,Pharmacy,Hyderabad,Telangana
Reliance Fresh 1392,Supermarket,Kanpur,Uttar Pradesh
Domino's 1393,Restaurant,Mumbai,Maharashtra
Pizza Hut 1394,Restaurant,Hyderabad,Telangana
Barista 1395,Cafe,Noida,Uttar Pradesh
Shell 1396,Fuel,Bhopal,Madhya Pradesh
Flipkart 1397,Shopping,Surat,Gujarat
MedPlus 1398,Pharmacy,Jaipur,Rajasthan
Amazon 1399,Shopping,Hyderabad,Telangana
Apollo Pharmacy 1400,Pharmacy,Noida,Uttar Pradesh
Medanta 1401,Hospital,Lucknow,Uttar Pradesh
Cafe Coffee Day 1402,Cafe,Chennai,Tamil Nadu
Myntra 1403,Shopping,Surat,Gujarat
Big Bazaar 1404,Supermarket,Jaipur,Rajasthan
Gas Agency 1405,Utilities,Nagpur,Maharashtra
Max Fashion 1406,Fashion,Ahmedabad,Gujarat
Water Supply 1407,Utilities,Ahmedabad,Gujarat
Cafe Coffee Day 1408,Cafe,Nagpur,Maharashtra
Electricity Board 1409,Utilities,Mumbai,Maharashtra
Myntra 1410,Shopping,Kochi,Kerala
Yatra 1411,Travel,Noida,Uttar Pradesh
Fortis 1412,Hospital,Surat,Gujarat
Water Supply 1413,Utilities,Surat,Gujarat
Water Supply 1414,Utilities,Kolkata,West Bengal
Apollo Hospital 1415,Hospital,Nagpur,Maharashtra
Water Supply 1416,Utilities,Surat,Gujarat
Shell 1417,Fuel,Jaipur,Rajasthan
Electricity Board 1418,Utilities,Delhi,Delhi
Goibibo 1419,Travel,Kochi,Kerala
PVR 1420,Entertainment,Pune,Maharashtra
IRCTC 1421,Travel,Ahmedabad,Gujarat
Yatra 1422,Travel,Kochi,Kerala
Cafe Coffee Day 1423,Cafe,Jaipur,Rajasthan
Pantaloons 1424,Fashion,Gurgaon,Haryana
Amazon 1425,Shopping,Hyderabad,Telangana
Electricity Board 1426,Utilities,Noida,Uttar Pradesh
Amazon 1427,Shopping,Kochi,Kerala
Max Fashion 1428,Fashion,Surat,Gujarat
Vijay Sales 1429,Electronics,Bengaluru,Karnataka
Reliance Fresh 1430,Supermarket,Noida,Uttar Pradesh
Reliance Fresh 1431,Supermarket,Surat,Gujarat
Ajio 1432,Shopping,Gurgaon,Haryana
Apollo Pharmacy 1433,Pharmacy,Chennai,Tamil Nadu
INOX 1434,Entertainment,Noida,Uttar Pradesh
Apollo Pharmacy 1435,Pharmacy,Nagpur,Maharashtra
Lifestyle 1436,Fashion,Jaipur,Rajasthan
Apollo Hospital 1437,Hospital,Patna,Bihar
Shell 1438,Fuel,Nagpur,Maharashtra
HP Petrol Pump 1439,Fuel,Lucknow,Uttar Pradesh
Cafe Coffee Day 1440,Cafe,Kolkata,West Bengal
Bharat Petroleum 1441,Fuel,Kochi,Kerala
Amazon 1442,Shopping,Mumbai,Maharashtra
BookMyShow 1443,Entertainment,Kanpur,Uttar Pradesh
Vijay Sales 1444,Electronics,Kanpur,Uttar Pradesh
Spencer's 1445,Supermarket,Chennai,Tamil Nadu
Barista 1446,Cafe,Indore,Madhya Pradesh
Cafe Coffee Day 1447,Cafe,Bengaluru,Karnataka
Fortis 1448,Hospital,Bhopal,Madhya Pradesh
BookMyShow 1449,Entertainment,Bengaluru,Karnataka
Burger King 1450,Restaurant,Gurgaon,Haryana
BookMyShow 1451,Entertainment,Bhopal,Madhya Pradesh
HP Petrol Pump 1452,Fuel,Pune,Maharashtra
INOX 1453,Entertainment,Surat,Gujarat
Gas Agency 1454,Utilities,Patna,Bihar
Cafe Coffee Day 1455,Cafe,Ahmedabad,Gujarat
BookMyShow 1456,Entertainment,Ahmedabad,Gujarat
Vijay Sales 1457,Electronics,Noida,Uttar Pradesh
MedPlus 1458,Pharmacy,Lucknow,Uttar Pradesh
KFC 1459,Restaurant,Kochi,Kerala
Electricity Board 1460,Utilities,Mumbai,Maharashtra
PVR 1461,Entertainment,Ahmedabad,Gujarat
Goibibo 1462,Travel,Nagpur,Maharashtra
Barista 1463,Cafe,Delhi,Delhi
Apollo Pharmacy 1464,Pharmacy,Kolkata,West Bengal
Medanta 1465,Hospital,Gurgaon,Haryana
Cafe Coffee Day 1466,Cafe,Gurgaon,Haryana
Max Fashion 1467,Fashion,Indore,Madhya Pradesh
Gas Agency 1468,Utilities,Chandigarh,Punjab
Starbucks 1469,Cafe,Bhopal,Madhya Pradesh
MakeMyTrip 1470,Travel,Surat,Gujarat
BookMyShow 1471,Entertainment,Pune,Maharashtra
Lifestyle 1472,Fashion,Chandigarh,Punjab
Fortis 1473,Hospital,Surat,Gujarat
Reliance Digital 1474,Electronics,Lucknow,Uttar Pradesh
Vijay Sales 1475,Electronics,Ahmedabad,Gujarat
Max Hospital 1476,Hospital,Kolkata,West Bengal
Amazon 1477,Shopping,Hyderabad,Telangana
MakeMyTrip 1478,Travel,Indore,Madhya Pradesh
Starbucks 1479,Cafe,Ahmedabad,Gujarat
Pantaloons 1480,Fashion,Pune,Maharashtra
MedPlus 1481,Pharmacy,Patna,Bihar
Fortis 1482,Hospital,Ahmedabad,Gujarat
Vijay Sales 1483,Electronics,Chennai,Tamil Nadu
Pizza Hut 1484,Restaurant,Hyderabad,Telangana
INOX 1485,Entertainment,Patna,Bihar
MedPlus 1486,Pharmacy,Delhi,Delhi
Apollo Hospital 1487,Hospital,Surat,Gujarat
Apollo Pharmacy 1488,Pharmacy,Jaipur,Rajasthan
Flipkart 1489,Shopping,Chennai,Tamil Nadu
Indian Oil 1490,Fuel,Bhopal,Madhya Pradesh
Water Supply 1491,Utilities,Kanpur,Uttar Pradesh
Spencer's 1492,Supermarket,Hyderabad,Telangana
Spencer's 1493,Supermarket,Surat,Gujarat
INOX 1494,Entertainment,Delhi,Delhi
Wellness Forever 1495,Pharmacy,Mumbai,Maharashtra
PVR 1496,Entertainment,Delhi,Delhi
Shell 1497,Fuel,Kochi,Kerala
Big Bazaar 1498,Supermarket,Noida,Uttar Pradesh
Cafe Coffee Day 1499,Cafe,Kolkata,West Bengal
Reliance Digital 1500,Electronics,Surat,Gujarat
Croma 1501,Electronics,Mumbai,Maharashtra
MedPlus 1502,Pharmacy,Pune,Maharashtra
BookMyShow 1503,Entertainment,Surat,Gujarat
Apollo Pharmacy 1504,Pharmacy,Lucknow,Uttar Pradesh
Burger King 1505,Restaurant,Kanpur,Uttar Pradesh
More 1506,Supermarket,Delhi,Delhi
HP Petrol Pump 1507,Fuel,Noida,Uttar Pradesh
Ajio 1508,Shopping,Pune,Maharashtra
Bharat Petroleum 1509,Fuel,Hyderabad,Telangana
IRCTC 1510,Travel,Hyderabad,Telangana
Max Fashion 1511,Fashion,Ahmedabad,Gujarat
Westside 1512,Fashion,Kolkata,West Bengal
PVR 1513,Entertainment,Lucknow,Uttar Pradesh
Electricity Board 1514,Utilities,Delhi,Delhi
PVR 1515,Entertainment,Patna,Bihar
Shell 1516,Fuel,Noida,Uttar Pradesh
Myntra 1517,Shopping,Jaipur,Rajasthan
Fortis 1518,Hospital,Indore,Madhya Pradesh
Myntra 1519,Shopping,Noida,Uttar Pradesh
Max Hospital 1520,Hospital,Patna,Bihar
Westside 1521,Fashion,Patna,Bihar
MakeMyTrip 1522,Travel,Surat,Gujarat
Pizza Hut 1523,Restaurant,Bengaluru,Karnataka
Croma 1524,Electronics,Jaipur,Rajasthan
Reliance Digital 1525,Electronics,Chandigarh,Punjab
Fortis 1526,Hospital,Ahmedabad,Gujarat
Bharat Petroleum 1527,Fuel,Gurgaon,Haryana
Indian Oil 1528,Fuel,Chennai,Tamil Nadu
Reliance Digital 1529,Electronics,Kolkata,West Bengal
INOX 1530,Entertainment,Pune,Maharashtra
Goibibo 1531,Travel,Patna,Bihar
Starbucks 1532,Cafe,Kanpur,Uttar Pradesh
Apollo Hospital 1533,Hospital,Lucknow,Uttar Pradesh
KFC 1534,Restaurant,Kolkata,West Bengal
Starbucks 1535,Cafe,Kolkata,West Bengal
Max Hospital 1536,Hospital,Indore,Madhya Pradesh
MedPlus 1537,Pharmacy,Indore,Madhya Pradesh
KFC 1538,Restaurant,Bengaluru,Karnataka
MedPlus 1539,Pharmacy,Hyderabad,Telangana
Burger King 1540,Restaurant,Ahmedabad,Gujarat
Barista 1541,Cafe,Kochi,Kerala
Amazon 1542,Shopping,Noida,Uttar Pradesh
INOX 1543,Entertainment,Hyderabad,Telangana
Myntra 1544,Shopping,Chandigarh,Punjab
BookMyShow 1545,Entertainment,Lucknow,Uttar Pradesh
MedPlus 1546,Pharmacy,Kanpur,Uttar Pradesh
Gas Agency 1547,Utilities,Pune,Maharashtra
Gas Agency 1548,Utilities,Delhi,Delhi
Cafe Coffee Day 1549,Cafe,Kochi,Kerala
Domino's 1550,Restaurant,Chennai,Tamil Nadu
Domino's 1551,Restaurant,Ahmedabad,Gujarat
Wellness Forever 1552,Pharmacy,Kanpur,Uttar Pradesh
Gas Agency 1553,Utilities,Mumbai,Maharashtra
KFC 1554,Restaurant,Jaipur,Rajasthan
Medanta 1555,Hospital,Lucknow,Uttar Pradesh
IRCTC 1556,Travel,Jaipur,Rajasthan
Gas Agency 1557,Utilities,Chennai,Tamil Nadu
Westside 1558,Fashion,Mumbai,Maharashtra
Pantaloons 1559,Fashion,Noida,Uttar Pradesh
Cafe Coffee Day 1560,Cafe,Bhopal,Madhya Pradesh
Indian Oil 1561,Fuel,Kochi,Kerala
D-Mart 1562,Supermarket,Lucknow,Uttar Pradesh
Spencer's 1563,Supermarket,Gurgaon,Haryana
Gas Agency 1564,Utilities,Ahmedabad,Gujarat
PVR 1565,Entertainment,Lucknow,Uttar Pradesh
Yatra 1566,Travel,Hyderabad,Telangana
Electricity Board 1567,Utilities,Bhopal,Madhya Pradesh
Lifestyle 1568,Fashion,Chennai,Tamil Nadu
Cafe Coffee Day 1569,Cafe,Noida,Uttar Pradesh
IRCTC 1570,Travel,Bhopal,Madhya Pradesh
Reliance Digital 1571,Electronics,Lucknow,Uttar Pradesh
Medanta 1572,Hospital,Chandigarh,Punjab
Myntra 1573,Shopping,Chennai,Tamil Nadu
Goibibo 1574,Travel,Lucknow,Uttar Pradesh
Yatra 1575,Travel,Nagpur,Maharashtra
Apollo Hospital 1576,Hospital,Bhopal,Madhya Pradesh
Water Supply 1577,Utilities,Mumbai,Maharashtra
Water Supply 1578,Utilities,Jaipur,Rajasthan
Max Fashion 1579,Fashion,Noida,Uttar Pradesh
Cafe Coffee Day 1580,Cafe,Hyderabad,Telangana
Yatra 1581,Travel,Pune,Maharashtra
Electricity Board 1582,Utilities,Chandigarh,Punjab
Max Fashion 1583,Fashion,Nagpur,Maharashtra
PVR 1584,Entertainment,Hyderabad,Telangana
Shell 1585,Fuel,Nagpur,Maharashtra
Ajio 1586,Shopping,Kolkata,West Bengal
PVR 1587,Entertainment,Bhopal,Madhya Pradesh
IRCTC 1588,Travel,Kolkata,West Bengal
Pizza Hut 1589,Restaurant,Delhi,Delhi
Starbucks 1590,Cafe,Surat,Gujarat
Myntra 1591,Shopping,Noida,Uttar Pradesh
Spencer's 1592,Supermarket,Surat,Gujarat
Electricity Board 1593,Utilities,Kolkata,West Bengal
Yatra 1594,Travel,Kochi,Kerala
HP Petrol Pump 1595,Fuel,Surat,Gujarat
More 1596,Supermarket,Kochi,Kerala
Zudio 1597,Fashion,Bhopal,Madhya Pradesh
Apollo Hospital 1598,Hospital,Bengaluru,Karnataka
Reliance Digital 1599,Electronics,Lucknow,Uttar Pradesh
Fortis 1600,Hospital,Kanpur,Uttar Pradesh
Big Bazaar 1601,Supermarket,Kochi,Kerala
Starbucks 1602,Cafe,Indore,Madhya Pradesh
Westside 1603,Fashion,Chandigarh,Punjab
Wellness Forever 1604,Pharmacy,Kolkata,West Bengal
Spencer's 1605,Supermarket,Patna,Bihar
IRCTC 1606,Travel,Bengaluru,Karnataka
Barista 1607,Cafe,Bengaluru,Karnataka
Amazon 1608,Shopping,Kolkata,West Bengal
Zudio 1609,Fashion,Kanpur,Uttar Pradesh
Gas Agency 1610,Utilities,Lucknow,Uttar Pradesh
BookMyShow 1611,Entertainment,Bhopal,Madhya Pradesh
Gas Agency 1612,Utilities,Nagpur,Maharashtra
Myntra 1613,Shopping,Indore,Madhya Pradesh
MedPlus 1614,Pharmacy,Lucknow,Uttar Pradesh
Cafe Coffee Day 1615,Cafe,Nagpur,Maharashtra
Westside 1616,Fashion,Hyderabad,Telangana
Zudio 1617,Fashion,Mumbai,Maharashtra
Bharat Petroleum 1618,Fuel,Kochi,Kerala
Pizza Hut 1619,Restaurant,Lucknow,Uttar Pradesh
Fortis 1620,Hospital,Kanpur,Uttar Pradesh
Apollo Pharmacy 1621,Pharmacy,Jaipur,Rajasthan
