fraud_id,transaction_id,fraud_type,risk_score,detected_date,investigation_status
962,307158,Account Takeover,95,2024-09-03,Resolved
963,243265,Fake Merchant,85,2025-06-29,Closed
964,371092,Card Skimming,77,2024-10-31,Closed
965,458597,Account Takeover,100,2024-12-04,Closed
966,265794,Money Laundering,79,2024-11-12,Resolved
967,381635,Account Takeover,84,2024-08-18,Open
968,284061,Identity Theft,67,2025-09-09,Open
969,477518,International Fraud,66,2026-01-06,Under Investigation
970,275564,Phishing,71,2026-02-11,Closed
971,105390,Card Skimming,82,2025-09-02,Under Investigation
972,191919,Duplicate Transaction,82,2025-07-12,Resolved
973,91606,Suspicious Transfer,86,2025-06-20,Open
974,387651,Suspicious Transfer,66,2026-01-03,Open
975,140039,Suspicious Transfer,78,2025-11-10,Resolved
976,374405,Money Laundering,67,2025-10-05,Closed
977,174409,Account Takeover,98,2025-02-24,Resolved
978,148629,International Fraud,65,2024-08-26,Under Investigation
979,276185,Account Takeover,83,2025-05-05,Resolved
980,88889,Account Takeover,97,2024-09-17,Resolved
981,421882,Suspicious Transfer,74,2025-03-19,Under Investigation
982,151494,Account Takeover,90,2025-07-20,Closed
983,114959,Duplicate Transaction,65,2025-11-14,Under Investigation
984,163410,Duplicate Transaction,99,2025-06-10,Closed
985,400346,Phishing,80,2025-06-23,Resolved
986,259687,Identity Theft,72,2026-02-08,Resolved
987,296133,Card Skimming,79,2025-09-24,Closed
988,135817,Suspicious Transfer,81,2025-02-13,Under Investigation
989,144913,Fake Merchant,63,2025-09-01,Open
990,195757,Card Skimming,81,2026-01-19,Closed
991,131933,Card Skimming,71,2025-09-16,Under Investigation
992,407875,Account Takeover,71,2026-05-13,Resolved
993,254652,Card Skimming,100,2024-08-06,Open
994,130881,Phishing,73,2025-09-17,Open
995,144988,High Value Withdrawal,85,2026-02-27,Under Investigation
996,388428,Phishing,100,2026-01-18,Under Investigation
997,234133,International Fraud,92,2026-06-07,Under Investigation
998,177857,Money Laundering,92,2024-10-25,Resolved
999,36067,International Fraud,77,2024-08-25,Closed
1000,117575,High Value Withdrawal,78,2024-07-21,Resolved
1001,41517,Fake Merchant,91,2026-01-29,Under Investigation
1002,349057,Fake Merchant,77,2025-06-19,Under Investigation
1003,20956,International Fraud,94,2025-09-18,Under Investigation
1004,230471,Fake Merchant,68,2024-09-05,Under Investigation
1005,349871,Money Laundering,75,2026-01-28,Closed
1006,225116,Phishing,65,2025-03-05,Closed
1007,135350,Identity Theft,98,2024-07-14,Closed
1008,107046,Card Skimming,66,2025-09-20,Resolved
1009,148765,Phishing,78,2024-07-29,Resolved
1010,395626,Fake Merchant,74,2025-12-11,Resolved
1011,236443,Card Skimming,82,2025-08-29,Closed
1012,346610,Identity Theft,92,2026-06-22,Resolved
1013,259458,Fake Merchant,71,2025-09-05,Closed
1014,287142,Fake Merchant,81,2026-02-03,Open
1015,287413,International Fraud,73,2024-09-21,Closed
1016,259799,Card Skimming,83,2025-08-13,Closed
1017,194083,Suspicious Transfer,76,2026-02-24,Open
1018,243413,Duplicate Transaction,70,2026-06-20,Under Investigation
1019,85729,International Fraud,69,2024-09-16,Closed
1020,150078,Identity Theft,99,2024-09-11,Closed
1021,72066,Account Takeover,76,2026-05-26,Resolved
1022,190872,Account Takeover,67,2025-03-28,Resolved
1023,178999,Duplicate Transaction,95,2026-03-12,Resolved
1024,158777,Money Laundering,70,2025-06-06,Resolved
1025,461655,Fake Merchant,94,2026-01-15,Closed
1026,166729,Fake Merchant,88,2025-09-02,Under Investigation
1027,427832,Money Laundering,63,2026-04-27,Closed
1028,144319,Suspicious Transfer,96,2024-09-19,Under Investigation
1029,341464,Account Takeover,76,2025-02-13,Closed
1030,368488,Fake Merchant,99,2024-07-04,Resolved
1031,272624,Suspicious Transfer,60,2025-10-20,Open
1032,438849,Money Laundering,60,2025-03-22,Resolved
1033,140082,Identity Theft,97,2024-07-19,Open
1034,318889,Duplicate Transaction,71,2025-06-21,Under Investigation
1035,287547,Phishing,71,2026-02-05,Under Investigation
1036,152916,Account Takeover,88,2026-05-14,Closed
1037,468400,International Fraud,83,2024-11-20,Open
1038,89390,Duplicate Transaction,77,2026-01-21,Closed
1039,428165,Money Laundering,67,2024-08-09,Open
1040,74364,Card Skimming,90,2025-12-31,Resolved
1041,386808,Fake Merchant,63,2026-02-12,Closed
1042,55059,Money Laundering,79,2025-05-23,Closed
1043,463301,Account Takeover,98,2024-08-18,Closed
1044,190579,Fake Merchant,80,2026-01-27,Resolved
1045,13239,International Fraud,97,2025-11-13,Open
1046,432681,International Fraud,91,2025-11-18,Closed
1047,187900,Duplicate Transaction,82,2026-01-26,Resolved
1048,170320,Money Laundering,92,2025-08-25,Open
1049,282231,High Value Withdrawal,68,2025-11-04,Under Investigation
1050,176371,Fake Merchant,94,2025-08-31,Under Investigation
1051,113575,Fake Merchant,92,2025-03-21,Resolved
1052,358040,Identity Theft,81,2026-02-12,Under Investigation
1053,411820,Card Skimming,74,2025-01-19,Open
1054,263735,Identity Theft,72,2026-01-30,Resolved
1055,225628,Suspicious Transfer,78,2026-02-03,Open
1056,427821,Phishing,87,2025-07-25,Resolved
1057,175188,Card Skimming,62,2024-09-11,Open
1058,455595,International Fraud,96,2024-08-11,Closed
1059,9455,High Value Withdrawal,64,2026-05-23,Under Investigation
1060,61703,Phishing,86,2026-05-10,Under Investigation
1061,327372,Money Laundering,62,2026-01-18,Open
1062,470655,Account Takeover,99,2025-06-20,Open
1063,130985,Card Skimming,69,2025-07-08,Closed
1064,183754,Fake Merchant,64,2025-10-20,Open
1065,270325,Card Skimming,65,2025-12-02,Resolved
1066,263812,Account Takeover,86,2026-04-10,Closed
1067,299417,Duplicate Transaction,63,2025-01-13,Open
1068,24573,Fake Merchant,75,2026-01-04,Closed
1069,472048,Suspicious Transfer,93,2024-12-29,Open
1070,375399,High Value Withdrawal,71,2025-05-01,Open
1071,480185,Money Laundering,99,2024-08-01,Closed
1072,78865,Duplicate Transaction,94,2025-09-04,Under Investigation
1073,281131,Fake Merchant,75,2025-05-06,Resolved
1074,261951,Suspicious Transfer,75,2026-02-06,Open
1075,393319,Account Takeover,77,2025-09-14,Open
1076,6177,Fake Merchant,82,2024-07-09,Under Investigation
1077,267968,Money Laundering,72,2024-09-19,Closed
1078,241182,Phishing,67,2025-02-04,Closed
1079,280663,High Value Withdrawal,89,2024-11-22,Resolved
1080,424909,Money Laundering,66,2025-12-19,Open
1081,191689,Account Takeover,78,2025-04-29,Closed
1082,427529,Suspicious Transfer,83,2026-03-31,Open
1083,314343,Money Laundering,100,2024-07-02,Closed
1084,216092,Suspicious Transfer,61,2024-11-23,Under Investigation
1085,169081,Phishing,65,2026-03-22,Resolved
1086,484297,Duplicate Transaction,64,2025-05-20,Resolved
1087,30563,Card Skimming,86,2024-11-04,Open
1088,183811,Account Takeover,100,2026-05-30,Under Investigation
1089,163774,Phishing,81,2026-06-06,Open
1090,88268,Fake Merchant,63,2025-11-29,Closed
1091,202900,Suspicious Transfer,63,2025-09-17,Open
1092,447239,Fake Merchant,83,2024-12-13,Resolved
1093,451104,Card Skimming,69,2025-02-28,Open
1094,364096,Duplicate Transaction,80,2024-12-19,Closed
1095,345117,Money Laundering,72,2024-08-26,Resolved
1096,300027,International Fraud,85,2024-10-19,Resolved
1097,376290,Fake Merchant,88,2025-11-03,Under Investigation
1098,198425,International Fraud,65,2025-08-01,Closed
1099,81475,Duplicate Transaction,65,2024-08-16,Resolved
1100,67114,Account Takeover,72,2025-09-02,Open
1101,200514,High Value Withdrawal,72,2025-03-17,Resolved
1102,298811,High Value Withdrawal,89,2026-03-03,Closed
1103,423880,Identity Theft,100,2024-09-17,Open
1104,496501,Suspicious Transfer,94,2026-04-06,Closed
1105,240518,Money Laundering,72,2025-10-02,Open
1106,219047,Phishing,73,2026-01-04,Open
1107,45527,Identity Theft,72,2026-06-06,Resolved
1108,136996,Money Laundering,63,2025-09-28,Closed
1109,159797,Fake Merchant,94,2025-02-10,Open
1110,410191,Phishing,79,2025-10-25,Under Investigation
1111,191611,Phishing,62,2025-11-14,Open
1112,311350,High Value Withdrawal,81,2026-01-31,Open
1113,282331,Identity Theft,65,2026-07-01,Closed
1114,114263,Card Skimming,74,2026-05-13,Open
1115,44857,High Value Withdrawal,79,2024-11-27,Resolved
1116,490921,Phishing,89,2024-09-16,Under Investigation
1117,212965,Duplicate Transaction,96,2026-05-17,Open
1118,403651,Fake Merchant,81,2026-05-28,Resolved
1119,462815,High Value Withdrawal,91,2025-12-22,Resolved
1120,322133,Fake Merchant,76,2025-05-08,Open
1121,443182,Duplicate Transaction,72,2025-09-27,Closed
1122,172151,Phishing,72,2026-05-29,Open
1123,424774,Money Laundering,82,2025-03-16,Closed
1124,83799,Identity Theft,76,2026-02-18,Open
1125,367975,Duplicate Transaction,74,2024-08-11,Closed
1126,325320,Account Takeover,65,2026-06-03,Open
1127,70318,Account Takeover,80,2025-03-26,Resolved
1128,136015,Account Takeover,81,2025-05-09,Open
1129,463227,Account Takeover,76,2024-07-29,Open
1130,395539,International Fraud,69,2026-05-13,Under Investigation
1131,113185,Identity Theft,82,2025-12-10,Under Investigation
1132,380938,Suspicious Transfer,80,2025-07-27,Under Investigation
1133,421213,Phishing,73,2025-10-07,Under Investigation
1134,260223,Duplicate Transaction,75,2025-12-15,Open
1135,96520,Money Laundering,70,2026-01-20,Under Investigation
1136,385214,Identity Theft,98,2026-03-06,Resolved
1137,190483,Identity Theft,97,2026-05-08,Under Investigation
1138,291089,International Fraud,67,2025-12-28,Resolved
1139,253018,Fake Merchant,86,2025-03-03,Closed
1140,30243,Duplicate Transaction,95,2024-12-21,Resolved
1141,59708,Duplicate Transaction,98,2026-02-04,Resolved
1142,276257,Phishing,83,2025-03-23,Resolved
1143,112924,Account Takeover,66,2026-01-27,Under Investigation
1144,396148,Identity Theft,72,2025-02-21,Under Investigation
1145,495542,Money Laundering,92,2025-09-08,Under Investigation
1146,209889,Account Takeover,76,2024-11-12,Open
1147,402759,Card Skimming,97,2024-08-19,Open
1148,499126,Fake Merchant,68,2026-03-15,Open
1149,339507,Duplicate Transaction,98,2026-05-04,Under Investigation
1150,442656,Fake Merchant,70,2025-09-02,Open
1151,135465,International Fraud,84,2025-11-15,Under Investigation
1152,78884,Money Laundering,62,2025-06-28,Resolved
1153,69994,Money Laundering,74,2026-06-17,Under Investigation
1154,350015,Card Skimming,85,2026-04-25,Closed
1155,213535,Money Laundering,84,2025-04-20,Open
1156,250621,International Fraud,66,2024-09-30,Closed
1157,114209,International Fraud,60,2024-07-06,Resolved
1158,310941,Phishing,72,2024-07-28,Open
1159,115239,International Fraud,75,2025-03-14,Resolved
1160,374793,High Value Withdrawal,86,2025-11-30,Open
1161,62568,Suspicious Transfer,86,2026-01-19,Closed
1162,171899,Suspicious Transfer,99,2026-01-08,Closed
1163,392881,Suspicious Transfer,95,2025-08-17,Open
1164,222227,Identity Theft,93,2025-01-25,Closed
1165,98310,High Value Withdrawal,73,2025-09-08,Closed
1166,20775,International Fraud,60,2026-06-10,Closed
1167,449214,Suspicious Transfer,94,2026-02-21,Resolved
1168,136400,Suspicious Transfer,84,2026-05-05,Open
1169,335485,Duplicate Transaction,91,2026-04-03,Open
1170,143384,Phishing,95,2026-02-05,Under Investigation
1171,438112,Fake Merchant,100,2025-11-17,Closed
1172,63601,Fake Merchant,73,2025-08-09,Open
1173,401089,High Value Withdrawal,93,2026-01-22,Under Investigation
1174,174620,Identity Theft,95,2025-11-13,Under Investigation
1175,379102,Identity Theft,94,2025-08-01,Resolved
1176,181907,Identity Theft,77,2025-09-01,Resolved
1177,444706,Money Laundering,82,2024-11-07,Closed
1178,485832,Card Skimming,90,2026-03-22,Open
1179,297054,Identity Theft,90,2026-03-15,Closed
1180,249742,Phishing,100,2025-06-21,Resolved
1181,259795,Card Skimming,88,2024-08-07,Under Investigation
1182,171072,Duplicate Transaction,95,2025-12-06,Resolved
1183,436237,High Value Withdrawal,88,2024-11-09,Closed
1184,386233,Money Laundering,61,2024-09-13,Closed
1185,378468,Identity Theft,98,2025-09-18,Closed
1186,39773,Card Skimming,86,2024-07-15,Under Investigation
1187,367720,International Fraud,94,2025-04-13,Under Investigation
1188,278751,Account Takeover,96,2025-09-10,Closed
1189,355161,Card Skimming,60,2026-05-23,Closed
1190,461082,Card Skimming,96,2024-07-21,Under Investigation
1191,208265,High Value Withdrawal,72,2025-02-20,Resolved
1192,240778,Fake Merchant,65,2025-08-16,Resolved
1193,465618,Card Skimming,70,2025-07-18,Open
1194,339848,Identity Theft,71,2025-12-18,Closed
1195,293880,Card Skimming,71,2024-11-25,Closed
1196,267770,Fake Merchant,98,2025-11-03,Closed
1197,210657,High Value Withdrawal,87,2026-04-17,Under Investigation
1198,173571,Money Laundering,87,2024-08-17,Closed
1199,82502,Duplicate Transaction,71,2025-04-08,Resolved
1200,357810,Money Laundering,76,2024-12-21,Under Investigation
1201,101440,High Value Withdrawal,64,2026-01-09,Under Investigation
1202,309280,Duplicate Transaction,91,2026-04-24,Under Investigation
1203,213992,Account Takeover,75,2026-01-24,Resolved
1204,11149,Phishing,78,2024-12-15,Open
1205,420540,Phishing,61,2025-06-16,Under Investigation
1206,123673,International Fraud,64,2024-09-24,Open
1207,181388,Card Skimming,67,2024-09-29,Under Investigation
1208,428247,Phishing,69,2025-06-24,Closed
1209,46947,Suspicious Transfer,92,2025-10-31,Closed
1210,295211,Fake Merchant,86,2024-07-30,Under Investigation
1211,121007,Account Takeover,79,2025-07-16,Resolved
1212,21378,Money Laundering,87,2026-04-04,Open
1213,493257,Phishing,79,2024-11-01,Open
1214,193301,Fake Merchant,92,2026-03-03,Closed
1215,444630,Money Laundering,68,2025-05-31,Resolved
1216,397379,Suspicious Transfer,86,2025-06-26,Resolved
1217,305711,Account Takeover,61,2025-06-11,Resolved
1218,486961,Money Laundering,83,2025-12-25,Closed
1219,107098,International Fraud,71,2025-05-28,Resolved
1220,379882,Identity Theft,70,2025-07-14,Resolved
1221,372067,Duplicate Transaction,64,2025-10-02,Open
1222,344806,Account Takeover,76,2026-02-07,Resolved
1223,476181,Fake Merchant,95,2025-12-09,Under Investigation
1224,190929,Account Takeover,87,2025-01-15,Closed
1225,404122,Account Takeover,75,2025-12-10,Open
1226,376404,Duplicate Transaction,80,2025-07-21,Closed
1227,341549,Suspicious Transfer,90,2024-08-22,Resolved
1228,479644,Identity Theft,62,2025-01-13,Closed
1229,63911,High Value Withdrawal,100,2025-04-16,Under Investigation
1230,216545,Identity Theft,96,2025-04-27,Open
1231,151531,Identity Theft,98,2024-11-26,Resolved
1232,371253,High Value Withdrawal,70,2026-06-07,Closed
1233,370720,Money Laundering,91,2024-09-20,Open
1234,26011,High Value Withdrawal,86,2025-08-25,Open
1235,8696,Phishing,75,2026-05-11,Closed
1236,139423,Account Takeover,67,2024-12-12,Closed
1237,81562,High Value Withdrawal,85,2024-08-26,Resolved
1238,422451,High Value Withdrawal,64,2025-12-16,Open
1239,189405,Identity Theft,90,2026-05-11,Open
1240,440250,Identity Theft,84,2025-08-10,Closed
1241,45341,Fake Merchant,92,2024-07-25,Resolved
1242,179731,Suspicious Transfer,72,2025-03-15,Closed
1243,135900,Fake Merchant,79,2026-04-22,Under Investigation
1244,207990,Duplicate Transaction,89,2024-11-27,Under Investigation
1245,99560,Money Laundering,95,2024-08-08,Open
1246,348679,Account Takeover,73,2025-10-14,Closed
1247,177483,Duplicate Transaction,74,2025-05-08,Under Investigation
1248,280174,Money Laundering,70,2026-05-23,Resolved
1249,377449,Suspicious Transfer,74,2026-04-21,Resolved
1250,169330,High Value Withdrawal,84,2025-07-20,Open
1251,121868,Card Skimming,98,2025-10-31,Resolved
1252,430384,High Value Withdrawal,98,2025-08-07,Open
1253,150787,International Fraud,72,2026-03-30,Under Investigation
1254,398597,High Value Withdrawal,80,2024-08-01,Under Investigation
1255,126987,Money Laundering,65,2025-01-19,Under Investigation
1256,249121,Fake Merchant,64,2026-02-11,Open
1257,410535,International Fraud,92,2025-04-01,Closed
1258,344916,Suspicious Transfer,72,2025-10-05,Under Investigation
1259,299092,Duplicate Transaction,84,2026-05-18,Closed
1260,18308,Identity Theft,90,2025-04-11,Under Investigation
1261,248299,High Value Withdrawal,71,2024-09-02,Resolved
1262,144278,International Fraud,90,2024-09-01,Resolved
1263,176552,Fake Merchant,78,2024-07-30,Open
1264,380083,Money Laundering,94,2025-03-03,Open
1265,7059,Card Skimming,71,2025-11-29,Under Investigation
1266,83362,International Fraud,86,2024-11-14,Resolved
1267,185887,Identity Theft,98,2025-07-11,Open
1268,284018,Money Laundering,60,2026-06-08,Under Investigation
1269,283788,High Value Withdrawal,94,2026-06-06,Closed
1270,377821,High Value Withdrawal,68,2024-07-13,Resolved
1271,489208,High Value Withdrawal,89,2025-09-17,Resolved
1272,405141,High Value Withdrawal,97,2025-07-14,Under Investigation
1273,372471,Phishing,88,2025-02-03,Under Investigation
1274,465279,Account Takeover,100,2024-09-15,Under Investigation
1275,84457,Fake Merchant,74,2025-11-28,Under Investigation
1276,21453,Account Takeover,82,2025-12-11,Closed
1277,337266,Money Laundering,82,2025-06-12,Under Investigation
1278,398980,High Value Withdrawal,80,2024-07-16,Under Investigation
1279,127281,Account Takeover,66,2025-11-01,Open
1280,333151,International Fraud,75,2025-04-21,Resolved
1281,466977,Identity Theft,68,2024-12-02,Under Investigation
1282,239657,Fake Merchant,63,2025-08-19,Under Investigation
1283,224232,Money Laundering,83,2024-08-20,Closed
1284,438397,High Value Withdrawal,97,2025-11-08,Under Investigation
1285,98719,Identity Theft,82,2026-06-08,Under Investigation
1286,213177,Phishing,71,2025-02-06,Open
1287,440668,Duplicate Transaction,86,2026-04-17,Resolved
1288,393024,Duplicate Transaction,62,2026-07-02,Open
1289,186011,Account Takeover,76,2024-10-26,Under Investigation
1290,77179,Money Laundering,85,2025-10-09,Under Investigation
1291,492845,Suspicious Transfer,73,2024-09-22,Open
1292,249247,Fake Merchant,79,2026-01-26,Open
1293,180852,International Fraud,67,2026-04-06,Open
1294,382664,High Value Withdrawal,84,2025-10-14,Resolved
1295,299787,Card Skimming,76,2026-01-03,Open
1296,223472,Suspicious Transfer,100,2025-06-15,Open
1297,172887,Suspicious Transfer,85,2026-03-25,Open
1298,327171,Money Laundering,91,2026-04-22,Under Investigation
1299,128119,Money Laundering,74,2026-03-28,Resolved
1300,357154,Duplicate Transaction,84,2026-04-24,Resolved
1301,10387,Phishing,61,2026-04-02,Resolved
1302,140930,Fake Merchant,69,2025-10-26,Closed
1303,459398,Money Laundering,65,2026-06-11,Resolved
1304,85861,Phishing,99,2026-03-22,Open
1305,62761,Fake Merchant,62,2025-01-08,Under Investigation
1306,49620,Identity Theft,90,2024-07-03,Closed
1307,484075,Fake Merchant,69,2025-09-09,Under Investigation
1308,29087,Money Laundering,67,2025-11-11,Open
1309,39085,Phishing,90,2025-12-27,Under Investigation
1310,416748,Fake Merchant,86,2024-09-13,Under Investigation
1311,99176,Card Skimming,78,2025-09-29,Open
1312,413831,Card Skimming,74,2026-05-27,Closed
1313,172099,Suspicious Transfer,86,2025-03-04,Closed
1314,112202,Account Takeover,81,2026-04-02,Resolved
1315,447641,High Value Withdrawal,73,2026-03-21,Resolved
1316,38322,Account Takeover,81,2025-10-16,Closed
1317,103697,High Value Withdrawal,80,2024-07-13,Closed
1318,412538,Fake Merchant,88,2025-06-06,Closed
1319,39382,International Fraud,99,2024-11-22,Under Investigation
1320,321293,Account Takeover,67,2025-12-17,Under Investigation
1321,495547,Phishing,80,2025-12-17,Under Investigation
1322,461512,Money Laundering,83,2025-02-17,Resolved
1323,138353,International Fraud,93,2026-02-08,Under Investigation
1324,200569,Identity Theft,73,2025-12-19,Resolved
1325,380152,High Value Withdrawal,75,2024-12-31,Open
1326,496920,Suspicious Transfer,81,2025-10-02,Resolved
1327,321907,Suspicious Transfer,91,2024-07-31,Under Investigation
1328,174729,International Fraud,87,2025-01-26,Closed
1329,315594,Identity Theft,67,2025-05-01,Open
1330,12118,Money Laundering,65,2025-03-03,Resolved
1331,463383,Suspicious Transfer,69,2026-03-20,Under Investigation
1332,444739,Suspicious Transfer,92,2024-07-17,Resolved
1333,42709,Duplicate Transaction,76,2024-11-18,Closed
1334,481943,Duplicate Transaction,67,2025-02-15,Resolved
1335,378808,Phishing,79,2025-04-01,Resolved
1336,449908,Phishing,64,2025-02-13,Under Investigation
1337,376622,Identity Theft,92,2026-03-28,Closed
1338,442231,Card Skimming,91,2025-12-18,Resolved
1339,462104,Phishing,86,2025-09-18,Resolved
1340,324656,International Fraud,100,2026-06-05,Resolved
1341,172802,Money Laundering,83,2025-01-21,Under Investigation
1342,19425,International Fraud,62,2025-07-15,Under Investigation
1343,351081,Account Takeover,94,2025-05-09,Open
1344,463993,Card Skimming,72,2025-11-13,Open
1345,359763,Card Skimming,71,2025-04-11,Resolved
1346,62892,International Fraud,99,2024-10-13,Open
1347,336982,Phishing,80,2025-08-01,Resolved
1348,274998,High Value Withdrawal,88,2024-09-02,Resolved
1349,409635,International Fraud,60,2026-05-31,Resolved
1350,121586,International Fraud,73,2025-01-10,Closed
1351,244591,Fake Merchant,61,2026-01-13,Closed
1352,367895,Phishing,90,2025-03-09,Under Investigation
1353,90510,Fake Merchant,89,2026-06-29,Under Investigation
1354,284367,Card Skimming,94,2026-05-24,Open
1355,342611,Phishing,79,2025-05-27,Open
1356,124998,International Fraud,93,2025-07-15,Under Investigation
1357,176605,Card Skimming,79,2025-11-15,Resolved
1358,339315,Phishing,65,2026-06-28,Closed
1359,290808,Fake Merchant,71,2026-05-06,Under Investigation
1360,449501,Identity Theft,86,2026-06-14,Closed
1361,188302,International Fraud,66,2024-09-18,Closed
1362,461396,Duplicate Transaction,90,2024-07-09,Resolved
1363,16355,High Value Withdrawal,87,2024-11-16,Closed
1364,127099,Money Laundering,100,2025-11-04,Under Investigation
1365,370599,International Fraud,91,2024-10-20,Resolved
1366,129759,International Fraud,95,2025-08-27,Resolved
1367,356776,Duplicate Transaction,93,2024-11-16,Open
1368,38971,Fake Merchant,84,2026-05-01,Open
1369,52587,Money Laundering,76,2024-08-19,Closed
1370,151922,High Value Withdrawal,90,2024-07-31,Under Investigation
1371,148623,Money Laundering,67,2025-01-01,Resolved
1372,463562,Identity Theft,72,2024-09-20,Closed
1373,116635,International Fraud,82,2026-06-13,Open
1374,65088,Phishing,73,2025-10-28,Closed
1375,339939,Duplicate Transaction,86,2026-05-31,Closed
1376,44287,Suspicious Transfer,100,2026-01-04,Under Investigation
1377,113660,Fake Merchant,99,2025-12-17,Open
1378,369075,Suspicious Transfer,67,2025-05-03,Under Investigation
1379,222962,Card Skimming,68,2025-08-06,Open
1380,14747,Account Takeover,87,2025-07-07,Resolved
1381,263897,Fake Merchant,63,2026-02-01,Closed
1382,50467,Card Skimming,74,2025-10-15,Resolved
1383,388168,High Value Withdrawal,75,2025-09-05,Under Investigation
1384,464203,Account Takeover,62,2025-02-06,Closed
1385,187125,High Value Withdrawal,89,2025-12-07,Resolved
1386,63457,Fake Merchant,95,2026-01-20,Open
1387,25004,Phishing,80,2025-07-23,Resolved
1388,35363,Money Laundering,92,2024-10-08,Under Investigation
1389,199784,International Fraud,61,2025-11-20,Resolved
1390,162555,High Value Withdrawal,68,2025-04-24,Open
1391,297636,Duplicate Transaction,89,2025-05-05,Closed
1392,129564,International Fraud,76,2025-08-14,Under Investigation
1393,388416,Card Skimming,93,2024-09-13,Closed
1394,140312,International Fraud,65,2025-11-01,Open
1395,30874,Identity Theft,98,2024-07-20,Open
1396,171213,Account Takeover,61,2024-12-09,Under Investigation
1397,164077,Fake Merchant,78,2025-02-18,Resolved
1398,247492,High Value Withdrawal,89,2025-05-17,Resolved
1399,226527,Account Takeover,77,2026-04-06,Resolved
1400,151160,Money Laundering,84,2024-11-08,Resolved
1401,33909,Identity Theft,87,2024-08-26,Resolved
1402,391930,Fake Merchant,91,2025-04-09,Open
1403,260914,Fake Merchant,78,2025-04-25,Open
1404,392799,Suspicious Transfer,80,2026-03-18,Open
1405,304806,Suspicious Transfer,78,2024-11-25,Under Investigation
1406,428024,International Fraud,78,2025-01-04,Under Investigation
1407,197882,Money Laundering,66,2026-02-03,Resolved
1408,53508,Phishing,100,2025-03-14,Resolved
1409,226112,Card Skimming,65,2024-11-05,Resolved
1410,1057,High Value Withdrawal,68,2025-10-12,Resolved
1411,6334,Suspicious Transfer,70,2026-06-06,Open
1412,139175,Duplicate Transaction,69,2024-11-26,Resolved
1413,182140,International Fraud,77,2026-04-14,Closed
1414,31918,Phishing,82,2026-05-17,Open
1415,469347,Fake Merchant,81,2026-05-22,Under Investigation
1416,225815,Money Laundering,97,2025-03-11,Open
1417,126895,Suspicious Transfer,100,2025-11-02,Open
1418,402539,Phishing,82,2025-02-21,Open
1419,399233,Suspicious Transfer,67,2024-11-11,Open
1420,357164,High Value Withdrawal,99,2025-03-07,Closed
1421,372086,Suspicious Transfer,72,2025-05-25,Closed
1422,274724,High Value Withdrawal,93,2025-06-19,Closed
1423,326258,Money Laundering,78,2024-10-06,Resolved
1424,185866,Card Skimming,64,2025-06-16,Closed
1425,288808,High Value Withdrawal,75,2025-07-13,Open
1426,110334,Card Skimming,75,2025-05-12,Under Investigation
1427,394890,Card Skimming,82,2026-04-23,Open
1428,271317,Identity Theft,73,2025-05-20,Under Investigation
1429,121405,Card Skimming,81,2024-11-07,Under Investigation
1430,279732,Identity Theft,73,2024-11-30,Under Investigation
1431,200688,Money Laundering,72,2025-07-04,Resolved
1432,343726,Fake Merchant,83,2024-08-21,Resolved
1433,205222,Account Takeover,93,2026-05-22,Open
1434,482543,Identity Theft,75,2026-05-04,Resolved
1435,471527,Phishing,70,2025-03-27,Closed
1436,362562,Duplicate Transaction,81,2026-04-11,Open
1437,370799,Duplicate Transaction,72,2024-12-07,Closed
1438,128017,Money Laundering,60,2026-01-30,Closed
1439,349438,Money Laundering,85,2025-05-24,Under Investigation
1440,52902,Card Skimming,99,2025-07-14,Under Investigation
1441,231641,Money Laundering,72,2025-07-23,Under Investigation
1442,18739,Suspicious Transfer,94,2025-11-16,Closed
1443,30659,International Fraud,96,2024-10-10,Closed
1444,366133,Identity Theft,71,2025-09-26,Resolved
1445,291616,International Fraud,78,2024-08-10,Resolved
1446,268116,Money Laundering,82,2025-08-25,Closed
1447,3919,Identity Theft,98,2026-06-22,Closed
1448,8455,Identity Theft,92,2026-06-06,Closed
1449,362790,Money Laundering,91,2025-08-27,Open
1450,87998,High Value Withdrawal,89,2026-02-16,Closed
1451,344988,Card Skimming,68,2025-08-26,Open
1452,284472,Money Laundering,81,2025-01-20,Closed
1453,242808,Money Laundering,82,2025-08-07,Resolved
1454,114072,International Fraud,85,2025-10-23,Resolved
1455,247642,Phishing,76,2026-01-09,Open
1456,296856,Account Takeover,73,2024-07-06,Resolved
1457,110723,Money Laundering,92,2025-11-28,Under Investigation
1458,113183,Suspicious Transfer,87,2024-11-18,Under Investigation
1459,25153,Account Takeover,83,2026-01-28,Open
1460,61498,Card Skimming,71,2025-07-28,Resolved
1461,451595,Phishing,69,2025-08-04,Under Investigation
1462,296430,Money Laundering,96,2025-10-16,Open
1463,377648,Phishing,85,2026-03-06,Resolved
1464,84118,Suspicious Transfer,65,2025-08-15,Open
1465,438157,Identity Theft,63,2025-11-29,Under Investigation
1466,263705,Money Laundering,96,2025-09-08,Open
1467,317530,Money Laundering,93,2026-04-09,Resolved
1468,452368,Suspicious Transfer,66,2025-12-07,Under Investigation
1469,334234,International Fraud,92,2026-02-23,Open
1470,310220,Card Skimming,78,2024-09-01,Under Investigation
1471,170864,Fake Merchant,97,2024-10-09,Under Investigation
1472,105179,Account Takeover,64,2024-07-10,Resolved
